fam_history,abx_exposure,year,sex,age,prob,OR,calibrated_prev,prev,calibrated_inc,province
1,3,2028,1,4,2.121680291206647e-4,4.8803099309150735,0.15380769658446217,0.05214795487966978,0.07793771752045832,CA
0,0,2028,0,5,0.6124333528598318,1,0.02426004070938681,0.0383303095450826,0.0067178159471529,CA
1,0,2028,0,5,0.25347122476014583,2.4,0.05631152969847824,0.0383303095450826,0.01597253747937333,CA
0,1,2028,0,5,0.08816977295793402,2.122146743088662,0.05011896156571611,0.0383303095450826,0.01414952678986161,CA
1,1,2028,0,5,0.03649131817219374,5.093152183412789,0.11239886743398332,0.0383303095450826,0.03329922863691618,CA
0,2,2028,0,5,0.0063554640966124,2.2379890049797853,0.0527106115882888,0.0383303095450826,0.01491039470283188,CA
1,2,2028,0,5,0.00263037155139422,5.371173611951485,0.11781157925899947,0.0383303095450826,0.03505322685948061,CA
0,3,2028,0,5,3.1721008562181525e-4,2.364789452702972,0.05553125693304207,0.0383303095450826,0.01574189226352285,CA
1,3,2028,0,5,1.312855162661827e-4,5.6754946864871325,0.12366113506945783,0.0383303095450826,0.0369658637304724,CA
0,0,2028,1,5,0.5880016783992464,1,0.04317722186949339,0.06890625436865114,0.00753150108582048,CA
1,0,2028,1,5,0.2433595506987185,2.4,0.09771843756359136,0.06890625436865114,0.04181487678119397,CA
0,1,2028,1,5,0.10858476521353416,2.122146743088662,0.08739405573696243,0.06890625436865114,0.0098506846639394,CA
1,1,2028,1,5,0.04494058545382101,5.093152183412789,0.1868805810818032,0.06890625436865114,0.05411535201099522,CA
0,2,2028,1,5,0.01003981907149698,2.2379890049797853,0.0917270676554199,0.06890625436865114,0.01030965378036163,CA
1,2,2028,1,5,0.0041552361976031,5.371173611951485,0.1950916973255764,0.06890625436865114,0.05651900272023885,CA
0,3,2028,1,5,6.495373157223803e-4,2.366135597224664,0.09647263274845706,0.06890625436865114,0.01080939323997934,CA
1,3,2028,1,5,2.688276498573558e-4,5.678725433339193,0.20398390808456485,0.06890625436865114,0.05912483268939685,CA
0,0,2028,0,6,0.6048941917569303,1,0.03317108259338747,0.0499650442426376,0.00588845558015415,CA
1,0,2028,0,6,0.25035094989351253,2.4,0.07607759171455271,0.0499650442426376,0.01401674164757269,CA
0,1,2028,0,6,0.0945754062926493,1.6940388011249763,0.05492853523981109,0.0499650442426376,0.00993467105239953,CA
1,1,2028,0,6,0.03914245354738665,4.065693122699943,0.12241479318191296,0.0499650442426376,0.0235161354279008,CA
0,2,2028,0,6,0.00740361242924194,1.7865118061576193,0.05775376677622584,0.0499650442426376,0.01047129926856607,CA
1,2,2028,0,6,0.00306417457724398,4.287628334778286,0.12824014802259792,0.0499650442426376,0.02476802350360445,CA
0,3,2028,0,6,4.025895211784995e-4,1.8880580138498968,0.06083680704226132,0.0499650442426376,0.01105991026729879,CA
1,3,2028,0,6,1.6662198185680792e-4,4.531339233239752,0.13454862469565176,0.0499650442426376,0.02613905086171495,CA
0,0,2028,1,6,0.5787331126085252,1,0.05701590119864017,0.0858991568775545,0.01050391843363908,CA
1,0,2028,1,6,0.2395235174197116,2.4,0.12672285776372422,0.0858991568775545,0.02996924944092351,CA
0,1,2028,1,6,0.11606585757416768,1.6940388011249763,0.09291056204574168,0.0858991568775545,0.00221076822900391,CA
1,1,2028,1,6,0.04803682708458592,4.065693122699943,0.1973191079933437,0.0858991568775545,0.00640716569585824,CA
0,2,2028,1,6,0.01165459796003447,1.7865118061576193,0.0974878660179234,0.0858991568775545,0.00304508506191807,CA
1,2,2028,1,6,0.0048235537878897,4.287628334778286,0.20587274590559493,0.0858991568775545,0.00881116661030168,CA
0,3,2028,1,6,8.222318572725344e-4,1.8892296502923844,0.10251842344653064,0.0858991568775545,0.01223054548358613,CA
1,3,2028,1,6,3.4030170781273e-4,4.534151160701723,0.21516280421083273,0.0858991568775545,0.03478309765802091,CA
