year,sex,age,prev,inc
2004,1,13,0.17307557372781068,0.00573922714392621
2005,1,13,0.18274233078867394,0.005653444987385613
2006,1,13,0.19150374124098984,0.0055689449857756895
2007,1,13,0.19918200003433903,0.005485707975189466
2008,1,13,0.2056163464981398,0.005403715078155994
2009,1,13,0.21066864910792416,0.005322947699359064
2010,1,13,0.21422833171874614,0.005243387521419939
2011,1,13,0.21621639611483573,0.005165016500743154
2012,1,13,0.21658833656666301,0.005087816863424328
2013,1,13,0.21533579623418608,0.005011771101219221
2014,1,13,0.21248687932448174,0.004936861967572998
2015,1,13,0.2081051027201709,0.004863072473708863
2016,1,13,0.20228704169269018,0.004790385884775126
2017,1,13,0.1951587915632166,0.004718785716049885
2018,1,13,0.18687142633293652,0.004648255729202429
2019,1,13,0.17759568258705802,0.004578779928610506
2020,1,13,0.16751612954704254,0.00451034255773268
2021,1,13,0.15682510232189265,0.004442928095534829
2022,1,13,0.14571667476480646,0.0043765212529701366
2023,1,13,0.13438093168870016,0.004311106969511631
2024,1,13,0.12299876946385653,0.004246670409736639
2025,1,13,0.1117374120501025,0.004183196959962163
2026,1,13,0.1117374120501025,0.004183196959962163
2027,1,13,0.1117374120501025,0.004183196959962163
2028,1,13,0.1117374120501025,0.004183196959962163
2029,1,13,0.1117374120501025,0.004183196959962163
2030,1,13,0.1117374120501025,0.004183196959962163
2031,1,13,0.1117374120501025,0.004183196959962163
2032,1,13,0.1117374120501025,0.004183196959962163
2033,1,13,0.1117374120501025,0.004183196959962163
2034,1,13,0.1117374120501025,0.004183196959962163
2035,1,13,0.1117374120501025,0.004183196959962163
2036,1,13,0.1117374120501025,0.004183196959962163
2037,1,13,0.1117374120501025,0.004183196959962163
2038,1,13,0.1117374120501025,0.004183196959962163
2039,1,13,0.1117374120501025,0.004183196959962163
2040,1,13,0.1117374120501025,0.004183196959962163
2041,1,13,0.1117374120501025,0.004183196959962163
2042,1,13,0.1117374120501025,0.004183196959962163
2043,1,13,0.1117374120501025,0.004183196959962163
2044,1,13,0.1117374120501025,0.004183196959962163
2045,1,13,0.1117374120501025,0.004183196959962163
2046,1,13,0.1117374120501025,0.004183196959962163
2047,1,13,0.1117374120501025,0.004183196959962163
2048,1,13,0.1117374120501025,0.004183196959962163
2049,1,13,0.1117374120501025,0.004183196959962163
2050,1,13,0.1117374120501025,0.004183196959962163
2051,1,13,0.1117374120501025,0.004183196959962163
2052,1,13,0.1117374120501025,0.004183196959962163
2053,1,13,0.1117374120501025,0.004183196959962163
2054,1,13,0.1117374120501025,0.004183196959962163
2055,1,13,0.1117374120501025,0.004183196959962163
2056,1,13,0.1117374120501025,0.004183196959962163
2057,1,13,0.1117374120501025,0.004183196959962163
2058,1,13,0.1117374120501025,0.004183196959962163
2059,1,13,0.1117374120501025,0.004183196959962163
2060,1,13,0.1117374120501025,0.004183196959962163
2061,1,13,0.1117374120501025,0.004183196959962163
2062,1,13,0.1117374120501025,0.004183196959962163
2063,1,13,0.1117374120501025,0.004183196959962163
2064,1,13,0.1117374120501025,0.004183196959962163
2065,1,13,0.1117374120501025,0.004183196959962163
2000,0,14,0.10152788798095339,0.007055495632759161
2001,0,14,0.10853269137557865,0.006918046276138489
2002,0,14,0.1153375580017808,0.00678327459471156
2003,0,14,0.12184729431236482,0.006651128424214983
2004,0,14,0.12796640998518657,0.006521556616606573
2005,0,14,0.13360140987387634,0.006394509020268212
2006,0,14,0.13866314772255484,0.00626993646059429
2007,0,14,0.14306915980069887,0.006147790720958398
2008,0,14,0.14674589361445411,0.006028024524050725
2009,0,14,0.149630747781357,0.005910591513579082
2010,0,14,0.15167384412684562,0.005795446236326413
2011,0,14,0.152839461946889,0.005682544124557792
2012,0,14,0.15310707681890484,0.0055718414787702284
2013,0,14,0.1524719617506617,0.005463295450778446
2014,0,14,0.15094532606519814,0.0053568640271302575
2015,0,14,0.14855398632010372,0.005252506012844936
2016,0,14,0.14533958276016795,0.0051501810154684705
2017,0,14,0.14135737329252238,0.005049849429439367
2018,0,14,0.13667465378767824,0.004951472420759072
2019,0,14,0.1313688677901093,0.004855011911961027
2020,0,14,0.12552547977054762,0.0047604305673725105
2021,0,14,0.11923569337313002,0.004667691778663651
2022,0,14,0.11259409943660613,0.004576759650677903
