year,proj_scenario,sex,age,VALUE
2018,M2,B,90,66.6
2018,M2,B,91,55.7
2018,M2,B,92,46.6
2018,M2,B,93,38.1
2018,M2,B,94,30.6
2018,M2,B,95,23.6
2018,M2,B,96,18
2018,M2,B,97,13.2
2018,M2,B,98,9.3
2018,M2,B,99,5.7
2018,M2,B,100,10
2018,M2,M,0,197.3
2018,M2,M,1,197.8
2018,M2,M,2,199.9
2018,M2,M,3,201.5
2018,M2,M,4,202.6
2018,M2,M,5,205.2
2018,M2,M,6,205.7
2018,M2,M,7,205.9
2018,M2,M,8,209.4
2018,M2,M,9,210.6
2018,M2,M,10,210
2018,M2,M,11,205.1
2018,M2,M,12,200.1
2018,M2,M,13,198.1
2018,M2,M,14,200.1
2018,M2,M,15,200
2018,M2,M,16,204
2018,M2,M,17,211.2
2018,M2,M,18,226.8
2018,M2,M,19,240.8
2018,M2,M,20,245.6
2018,M2,M,21,248.6
2018,M2,M,22,254.5
2018,M2,M,23,261.4
2018,M2,M,24,261.2
2018,M2,M,25,262.6
2018,M2,M,26,264.6
2018,M2,M,27,268.2
2018,M2,M,28,268.7
2018,M2,M,29,260.8
2018,M2,M,30,254.1
2018,M2,M,31,255.4
2018,M2,M,32,260.7
2018,M2,M,33,259.9
2018,M2,M,34,258.4
2018,M2,M,35,255.6
2018,M2,M,36,253.1
2018,M2,M,37,252
2018,M2,M,38,248.3
2018,M2,M,39,241.2
2018,M2,M,40,237.5
2018,M2,M,41,236.3
2018,M2,M,42,236.2
2018,M2,M,43,235.9
2018,M2,M,44,230.8
2018,M2,M,45,231.4
2018,M2,M,46,235.4
2018,M2,M,47,244.2
2018,M2,M,48,244
2018,M2,M,49,240.5
2018,M2,M,50,238.9
2018,M2,M,51,241.5
2018,M2,M,52,255.2
2018,M2,M,53,271.1
2018,M2,M,54,278.9
2018,M2,M,55,280
2018,M2,M,56,272.7
2018,M2,M,57,273.1
2018,M2,M,58,268.2
2018,M2,M,59,260.9
2018,M2,M,60,257.5
2018,M2,M,61,249.3
2018,M2,M,62,241.2
2018,M2,M,63,235.5
2018,M2,M,64,224.1
2018,M2,M,65,212.7
2018,M2,M,66,203.2
2018,M2,M,67,197.3
2018,M2,M,68,190.5
2018,M2,M,69,184.5
2018,M2,M,70,181.7
2018,M2,M,71,178.2
2018,M2,M,72,150.6
2018,M2,M,73,137.7
2018,M2,M,74,131.2
2018,M2,M,75,123
2018,M2,M,76,111
2018,M2,M,77,102.3
2018,M2,M,78,93.1
2018,M2,M,79,86.6
2018,M2,M,80,79.8
2018,M2,M,81,72.5
2018,M2,M,82,68
2018,M2,M,83,61.3
2018,M2,M,84,55.5
2018,M2,M,85,51.3
2018,M2,M,86,45.9
2018,M2,M,87,40.3
2018,M2,M,88,34.2
2018,M2,M,89,28.1
2018,M2,M,90,23.3
2018,M2,M,91,18.6
2018,M2,M,92,14.8
2018,M2,M,93,11.5
2018,M2,M,94,8.5
2018,M2,M,95,6.2
2018,M2,M,96,4.5
2018,M2,M,97,3.3
2018,M2,M,98,2.1
2018,M2,M,99,1.1
2018,M2,M,100,1.8
2018,M2,F,0,187.7
2018,M2,F,1,187.9
2018,M2,F,2,190.5
2018,M2,F,3,191.9
2018,M2,F,4,193.9
2018,M2,F,5,195.3
2018,M2,F,6,197.3
2018,M2,F,7,197.4
2018,M2,F,8,201.6
2018,M2,F,9,202.5
2018,M2,F,10,203
2018,M2,F,11,198
2018,M2,F,12,193.2
2018,M2,F,13,190.5
2018,M2,F,14,192.8
2018,M2,F,15,192
2018,M2,F,16,195.3
2018,M2,F,17,200.9
2018,M2,F,18,213.4
2018,M2,F,19,222.6
2018,M2,F,20,226.6
2018,M2,F,21,227.2
2018,M2,F,22,234.7
2018,M2,F,23,238.3
2018,M2,F,24,239.3
2018,M2,F,25,243
2018,M2,F,26,248
2018,M2,F,27,252.5
2018,M2,F,28,255.4
2018,M2,F,29,249.8
2018,M2,F,30,247.2
2018,M2,F,31,249.5
2018,M2,F,32,254.2
2018,M2,F,33,255.4
2018,M2,F,34,255.9
2018,M2,F,35,255.7
2018,M2,F,36,255.1
2018,M2,F,37,254.4
2018,M2,F,38,251.9
2018,M2,F,39,247
2018,M2,F,40,242.2
2018,M2,F,41,242
2018,M2,F,42,241.3
2018,M2,F,43,240.4
2018,M2,F,44,236.3
2018,M2,F,45,235
2018,M2,F,46,238.2
2018,M2,F,47,246.7
2018,M2,F,48,246.3
2018,M2,F,49,243.9
2018,M2,F,50,241.8
2018,M2,F,51,243.8
2018,M2,F,52,255.6
2018,M2,F,53,272
2018,M2,F,54,279.4
2018,M2,F,55,281
2018,M2,F,56,274.8
2018,M2,F,57,276.5
2018,M2,F,58,272.5
2018,M2,F,59,266.5
2018,M2,F,60,262.3
2018,M2,F,61,256.5
2018,M2,F,62,248.8
2018,M2,F,63,245.2
2018,M2,F,64,235.8
2018,M2,F,65,224.2
2018,M2,F,66,214.5
2018,M2,F,67,208.4
2018,M2,F,68,202.7
2018,M2,F,69,197.6
2018,M2,F,70,195.6
2018,M2,F,71,192.6
2018,M2,F,72,163.5
2018,M2,F,73,150
2018,M2,F,74,144.1
2018,M2,F,75,136.5
2018,M2,F,76,125.7
2018,M2,F,77,118.7
2018,M2,F,78,109.6
2018,M2,F,79,103.5
2018,M2,F,80,97
2018,M2,F,81,90
2018,M2,F,82,86.5
2018,M2,F,83,80.6
2018,M2,F,84,74.8
2018,M2,F,85,71.5
2018,M2,F,86,66.9
2018,M2,F,87,62.1
2018,M2,F,88,55.4
2018,M2,F,89,48.4
2018,M2,F,90,43.3
2018,M2,F,91,37
2018,M2,F,92,31.8
2018,M2,F,93,26.7
2018,M2,F,94,22.1
2018,M2,F,95,17.5
2018,M2,F,96,13.5
2018,M2,F,97,9.9
2018,M2,F,98,7.2
2018,M2,F,99,4.6
2018,M2,F,100,8.2
2018,M3,B,0,385.1
2018,M3,B,1,385.7
2018,M3,B,2,390.3
2018,M3,B,3,393.4
