year,province,N,prop_male,projection_scenario
2053,CA,364800,0.5120614035087719,LG
2053,CA,481300,0.5121545813421983,M1
2053,CA,481500,0.5121495327102804,M2
2053,CA,481500,0.5121495327102804,M3
2053,CA,481400,0.5122559202326548,M4
2053,CA,479300,0.512205299394951,M5
2053,CA,646300,0.5121460622002166,HG
2053,CA,638700,0.5121340222326601,SA
2053,CA,368500,0.5120759837177747,FA
2054,CA,363500,0.512242090784044,LG
2054,CA,483600,0.5122001654259719,M1
2054,CA,483800,0.5121951219512195,M2
2054,CA,483800,0.5121951219512195,M3
2054,CA,483700,0.5120942733099029,M4
2054,CA,481500,0.5121495327102804,M5
2054,CA,654900,0.5121392579019698,HG
2054,CA,646800,0.5120593692022264,SA
2054,CA,367400,0.5119760479041916,FA
2055,CA,362200,0.5121479845389287,LG
2055,CA,486000,0.5121399176954733,M1
2055,CA,486200,0.5121349238996298,M2
2055,CA,486200,0.5121349238996298,M3
2055,CA,486100,0.5122402797778235,M4
2055,CA,483800,0.5121951219512195,M5
2055,CA,663600,0.5120554550934298,HG
2055,CA,655100,0.5121355518241489,SA
2055,CA,366200,0.5122883670125614,FA
2056,CA,361100,0.5120465245084465,LG
2056,CA,488400,0.512080262080262,M1
2056,CA,488600,0.5122799836266885,M2
2056,CA,488700,0.5121751585839983,M3
2056,CA,488600,0.5120753172329103,M4
2056,CA,486100,0.5122402797778235,M5
2056,CA,672400,0.5121951219512195,HG
2056,CA,663600,0.5122061482820977,SA
2056,CA,365200,0.5120481927710844,FA
2057,CA,360000,0.5122222222222222,LG
2057,CA,491000,0.5120162932790224,M1
2057,CA,491200,0.512214983713355,M2
2057,CA,491200,0.512214983713355,M3
2057,CA,491200,0.512214983713355,M4
2057,CA,488600,0.5120753172329103,M5
2057,CA,681400,0.5121808042265923,HG
2057,CA,672200,0.5120499851234751,SA
2057,CA,364300,0.5122152072467746,FA
2058,CA,359100,0.5121136173767753,LG
2058,CA,493600,0.5121555915721232,M1
2058,CA,493800,0.5121506682867558,M2
2058,CA,493900,0.512046973071472,M3
2058,CA,493800,0.5121506682867558,M4
2058,CA,491200,0.5120114006514658,M5
2058,CA,690500,0.5120926864590876,HG
2058,CA,680900,0.5121163166397416,SA
2058,CA,363500,0.512242090784044,FA
2059,CA,358300,0.512140664247837,LG
2059,CA,496300,0.5121902075357646,M1
2059,CA,496600,0.5120821586790173,M2
2059,CA,496600,0.5120821586790173,M3
2059,CA,496600,0.5120821586790173,M4
2059,CA,493800,0.5121506682867558,M5
2059,CA,699600,0.5121497998856489,HG
2059,CA,689600,0.5121809744779582,SA
2059,CA,362900,0.5119867732157619,FA
2060,CA,357700,0.5121610287950796,LG
2060,CA,499200,0.5122195512820513,M1
2060,CA,499400,0.5122146575891069,M2
2060,CA,499500,0.5121121121121122,M3
2060,CA,499400,0.5122146575891069,M4
2060,CA,496600,0.5120821586790173,M5
2060,CA,708900,0.5122020031033996,HG
2060,CA,698500,0.5120973514674302,SA
2060,CA,362400,0.5121412803532008,FA
2061,CA,357300,0.5121746431570109,LG
2061,CA,502200,0.5121465551573079,M1
2061,CA,502400,0.5121417197452229,M2
2061,CA,502400,0.5121417197452229,M3
2061,CA,502400,0.5121417197452229,M4
2061,CA,499400,0.5122146575891069,M5
2061,CA,718300,0.5120423221495197,HG
2061,CA,707400,0.5121571953633023,SA
2061,CA,362200,0.5121479845389287,FA
2062,CA,357000,0.5123249299719888,LG
2062,CA,505200,0.5122723673792557,M1
2062,CA,505500,0.5121661721068249,M2
2062,CA,505500,0.5121661721068249,M3
2062,CA,505500,0.5121661721068249,M4
2062,CA,502400,0.5121417197452229,M5
2062,CA,727700,0.512161605057029,HG
2062,CA,716500,0.512072575017446,SA
2062,CA,362000,0.5121546961325967,FA
2063,CA,357000,0.5120448179271708,LG
2063,CA,508500,0.5120943952802359,M1
2063,CA,508700,0.5122862197758994,M2
2063,CA,508800,0.512185534591195,M3
2063,CA,508700,0.5122862197758994,M4
2063,CA,505500,0.5121661721068249,M5
2063,CA,737400,0.5120694331434771,HG
2063,CA,725600,0.5121278941565601,SA
2063,CA,362100,0.5122894228113781,FA
2064,CA,357100,0.512181461775413,LG
2064,CA,511800,0.5121141070730755,M1
2064,CA,512100,0.5122046475297793,M2
2064,CA,512100,0.5122046475297793,M3
2064,CA,512100,0.5122046475297793,M4
2064,CA,508800,0.512185534591195,M5
2064,CA,747200,0.5120449678800857,HG
2064,CA,735000,0.5121088435374149,SA
2064,CA,362400,0.5121412803532008,FA
2065,CA,357300,0.5121746431570109,LG
2065,CA,515299.99999999994,0.5121288569765186,M1
2065,CA,515600,0.5122187742435997,M2
2065,CA,515600,0.5122187742435997,M3
2065,CA,515600,0.5122187742435997,M4
2065,CA,512200.00000000006,0.5121046466224131,M5
2065,CA,757100,0.5122176726984546,HG
2065,CA,744500,0.5121558092679651,SA
2065,CA,362800,0.5121278941565601,FA
