REF_DATE,Projection_scenario,all,birth,reference_to_birth
2041,LG,42082500,366900,114.69746524938675
2041,M1,45843900,449300,102.03405297128867
2041,M2,45846100,449400,102.01624388072986
2041,M3,45843000,449400,102.00934579439253
2041,M4,45847600,449400,102.01958166444147
2041,M5,45829900,448200,102.25323516287372
2041,HG,50240200,555500,90.44140414041404
2041,SA,49014600,551700,88.84284937466015
2041,FA,43231600,369000,117.15880758807587
2042,LG,42189000,368800,114.39533622559652
2042,M1,46176900,454100,101.68883505835718
2042,M2,46179300,454200,101.67173051519154
2042,M3,46175900,454300,101.6418666079683
2042,M4,46180700,454200,101.67481285777191
2042,M5,46161200,452900,101.92360344446898
2042,HG,50865100,565100,90.01079454963723
2042,SA,49576700,561000,88.37201426024956
2042,FA,43390900,371000,116.9566037735849
2043,LG,42288800,370400,114.170626349892
2043,M1,46505600,458700,101.38565511227382
2043,M2,46508200,458900,101.34713445195031
2043,M3,46504600,458900,101.33928960557856
2043,M4,46509500,458800,101.37205754141237
2043,M5,46488300,457400,101.63598600787057
2043,HG,51493200,574700,89.60013920306247
2043,SA,50144700,570300,87.9268805891636
2043,FA,43539600,372800,116.79077253218884
2044,LG,42388300,371000,114.25417789757412
2044,M1,46831800,461400,101.49934980494149
2044,M2,46834700,461600,101.46165511265164
2044,M3,46830800,461600,101.45320623916811
2044,M4,46835900,461500,101.48624052004334
2044,M5,46812700,460100,101.74462073462291
2044,HG,52117500,581200,89.67222986923606
2044,SA,50711400,576500,87.9642671292281
2044,FA,43685000,373500,116.9611780455154
2045,LG,42484400,371200,114.45150862068965
2045,M1,47156200,463900,101.6516490622979
2045,M2,47159300,464100,101.61452273216979
2045,M3,47155300,464100,101.60590390002154
2045,M4,47160500,464000,101.63900862068965
2045,M5,47135200,462500,101.91394594594594
2045,HG,52746300,587700,89.75038284839204
2045,SA,51284200,582700,88.01132658314742
2045,FA,43824800,373900,117.20994918427387
2046,LG,42577000,371200,114.7009698275862
2046,M1,47479100,466300,101.82093073128887
2046,M2,47482500,466400,101.80638936535163
2046,M3,47478200,466500,101.7753483386924
2046,M4,47483500,466400,101.8085334476844
2046,M5,47456100,464800,102.1000430292599
2046,HG,53380300,594200,89.83557724671827
2046,SA,51863500,588900,88.06843267108168
2046,FA,43958900,374000,117.53716577540106
2047,LG,42666500,370900,115.03504987867349
2047,M1,47800800,468500,102.02945570971184
2047,M2,47804500,468600,102.01557831839521
2047,M3,47799900,468700,101.98399829315127
2047,M4,47805400,468600,102.01749893299188
2047,M5,47775700,466900,102.32533733133434
2047,HG,54019900,600800,89.91328229027962
2047,SA,52450000,595200,88.12163978494624
2047,FA,44087600,373900,117.91281091200855
2048,LG,42752900,370400,115.42359611231102
2048,M1,48121700,470600,102.25605609859754
2048,M2,48125700,470800,102.22111299915038
2048,M3,48120800,470800,102.2107051826678
2048,M4,48126500,470700,102.24452942426174
2048,M5,48094400,469000,102.54669509594883
2048,HG,54665800,607700,89.9552410728978
2048,SA,53044300,601800,88.14273845131272
2048,FA,44211100,373400,118.40144617032672
2049,LG,42836600,369600,115.89989177489177
2049,M1,48442300,472700,102.48000846202666
2049,M2,48446500,472900,102.44554874180588
2049,M3,48441300,472900,102.43455275956862
2049,M4,48447200,472800,102.46869712351946
2049,M5,48412700,471000,102.78704883227176
2049,HG,55319100,614900,89.96438445275655
2049,SA,53647300,608600,88.14870193887612
2049,FA,44329700,372700,118.94204453984437
2050,LG,42917800,368600,116.43461747151383
2050,M1,48763100,474800,102.70240101095197
2050,M2,48767700,475000,102.66884210526315
2050,M3,48762100,475000,102.65705263157895
2050,M4,48768200,474900,102.69151400294798
2050,M5,48731100,473000,103.02558139534884
2050,HG,55980400,622300,89.95725534308211
2050,SA,54259600,615700,88.12668507389962
2050,FA,44443800,371900,119.50470556601236
2051,LG,42996900,367400,117.0302123026674
2051,M1,49084700,476900,102.92451247641014
2051,M2,49089600,477100,102.89163697338084
2051,M3,49083800,477100,102.87948019283169
2051,M4,49090100,477000,102.91425576519916
2051,M5,49050300,475000,103.26378947368421
2051,HG,56650800,630000,89.92190476190476
2051,SA,54882100,623000,88.09325842696629
2051,FA,44553800,370800,120.15587918015102
2052,LG,43074300,366100,117.6571974870254
2052,M1,49407900,479100,103.12648716343143
2052,M2,49413100,479300,103.09430419361568
2052,M3,49406900,479300,103.08136866263301
2052,M4,49413400,479200,103.11644407345575
2052,M5,49370800,477100,103.48103123035003
2052,HG,57331400,638000,89.86112852664577
2052,SA,55515800,630700,88.02251466624385
2052,FA,44660400,369700,120.80173113335137
2053,LG,43150400,364800,118.28508771929825
2053,M1,49733200,481300,103.33097859962601
2053,M2,49738700,481500,103.29948078920042
2053,M3,49732200,481500,103.28598130841121
2053,M4,49738900,481400,103.32135438304944
2053,M5,49693300,479300,103.67890673899437
2053,HG,58023000,646300,89.77719325390686
2053,SA,56161300,638700,87.93064036323783
2053,FA,44764100,368500,121.47652645861601
2054,LG,43225900,363500,118.91581843191197
2054,M1,50061400,483600,103.51819685690653
2054,M2,50067200,483800,103.48739148408433
2054,M3,50060400,483800,103.4733360892931
2054,M4,50067400,483700,103.50919991730412
2054,M5,50018700,481500,103.8809968847352
2054,HG,58726700,654900,89.67277446938463
2054,SA,56819500,646800,87.84709338280767
2054,FA,44865700,367400,122.11676646706587
2055,LG,43301100,362200,119.55024848150194
2055,M1,50393200,486000,103.68971193415638
2055,M2,50399400,486200,103.65981077745784
2055,M3,50392200,486200,103.64500205676676
2055,M4,50399500,486100,103.68134128780086
2055,M5,50347600,483800,104.0669698222406
2055,HG,59443500,663600,89.57730560578662
2055,SA,57491100,655100,87.75927339337505
2055,FA,44965900,366200,122.79055161114145
2056,LG,43376500,361100,120.12323456106341
2056,M1,50729200,488400,103.86814086814087
2056,M2,50735800,488600,103.83913221449038
2056,M3,50728200,488700,103.8023327194598
2056,M4,50735800,488600,103.83913221449038
2056,M5,50680500,486100,104.25941164369472
2056,HG,60174200,672400,89.49167162403332
2056,SA,58176500,663600,87.66802290536468
2056,FA,45065500,365200,123.39950711938664
2057,LG,43452600,360000,120.70166666666667
2057,M1,51070000,491000,104.0122199592668
2057,M2,51076900,491200,103.98391693811075
2057,M3,51069000,491200,103.9678338762215
2057,M4,51076900,491200,103.98391693811075
2057,M5,51018200,488600,104.41711011051986
2057,HG,60919500,681400,89.40343410625184
2057,SA,58876300,672200,87.58747396608152
2057,FA,45165100,364300,123.97776557782048
2058,LG,43529700,359100,121.21888053467
2058,M1,51416000,493600,104.16531604538088
2058,M2,51423400,493800,104.13811259619278
2058,M3,51415100,493900,104.10022271714922
2058,M4,51423300,493800,104.13791008505468
2058,M5,51360900,491200,104.56209283387622
2058,HG,61680100,690500,89.32671976828385
2058,SA,59590800,680900,87.51769716551622
2058,FA,45265300,363500,124.52627235213205
2059,LG,43608000,358300,121.70806586659224
2059,M1,51767600,496300,104.30707233528108
2059,M2,51775400,496600,104.25976641159887
2059,M3,51766700,496600,104.2422472815143
2059,M4,51775200,496600,104.25936367297624
2059,M5,51709100,493800,104.71668691778048
2059,HG,62456500,699600,89.27458547741567
2059,SA,60320300,689600,87.47143271461717
2059,FA,45366600,362900,125.01129787820337
2060,LG,43687600,357700,122.13474979032709
2060,M1,52125000,499200,104.4170673076923
2060,M2,52133200,499400,104.39167000400481
2060,M3,52124100,499500,104.35255255255255
2060,M4,52133000,499400,104.39126952342811
2060,M5,52063000,496600,104.83890455094644
2060,HG,63249000,708900,89.2213288192975
2060,SA,61064700,698500,87.42261989978526
2060,FA,45469400,362400,125.46743929359823
2061,LG,43768500,357300,122.49790092359362
2061,M1,52488200,502200,104.51652727996814
2061,M2,52496800,502400,104.49203821656052
2061,M3,52487400,502400,104.47332802547771
2061,M4,52496600,502400,104.49164012738854
2061,M5,52422500,499400,104.97096515818983
2061,HG,64057900,718300,89.17986913545872
2061,SA,61824000,707400,87.39609838846481
2061,FA,45573900,362200,125.82523467697405
2062,LG,43850700,357000,122.83109243697479
2062,M1,52857200,505200,104.62628661916072
2062,M2,52866300,505500,104.58219584569733
2062,M3,52856500,505500,104.56280909990109
2062,M4,52866100,505500,104.58180019782394
2062,M5,52787800,502400,105.07125796178345
2062,HG,64883100,727700,89.16187989556136
2062,SA,62598300,716500,87.36678297278436
2062,FA,45680200,362000,126.18839779005525
2063,LG,43934000,357000,123.06442577030812
2063,M1,53231900,508500,104.68416912487709
2063,M2,53241400,508700,104.66168665225084
2063,M3,53231200,508800,104.62106918238993
2063,M4,53241200,508700,104.66129349321801
2063,M5,53158500,505500,105.16023738872404
2063,HG,65724800,737400,89.13045836723623
2063,SA,63387100,725600,87.358186328555675
