year,sex,age,province,n,total_n,prop
2000,FALSE,20,BC,26161,4035980,0.0064819449055743585
2000,FALSE,21,BC,25992,4035980,0.0064400715563506265
2000,FALSE,22,BC,25541,4035980,0.006328326701321612
2000,FALSE,23,BC,25644,4035980,0.006353847144931342
2000,FALSE,24,BC,26062,4035980,0.006457415547153356
2000,FALSE,25,BC,26127,4035980,0.006473520681470175
2000,FALSE,26,BC,26086,4035980,0.00646336205828572
2000,FALSE,27,BC,26940,4035980,0.006674958746079019
2000,FALSE,28,BC,27492,4035980,0.0068117285021234
2000,FALSE,29,BC,30387,4035980,0.007529026407464854
2000,FALSE,30,BC,30757,4035980,0.007620701787422138
2000,FALSE,31,BC,30354,4035980,0.007520849954657852
2000,FALSE,32,BC,29839,4035980,0.0073932477366092
2000,FALSE,33,BC,29138,4035980,0.007219560057284724
2000,FALSE,34,BC,31173,4035980,0.007723774647049787
2000,FALSE,35,BC,33107,4035980,0.008202964335799484
2000,FALSE,36,BC,35375,4035980,0.008764909637807917
2000,FALSE,37,BC,35876,4035980,0.008889043057696024
2000,FALSE,38,BC,34658,4035980,0.008587257617728532
2000,FALSE,39,BC,35388,4035980,0.008768130664671282
2000,FALSE,40,BC,35656,4035980,0.008834533372316017
2000,FALSE,41,BC,35114,4035980,0.008700241329243455
2000,FALSE,42,BC,35200,4035980,0.008721549660801095
2000,FALSE,43,BC,34487,4035980,0.008544888725910436
2000,FALSE,44,BC,33865,4035980,0.008390774979063325
2000,FALSE,45,BC,33888,4035980,0.008396473718898508
2000,FALSE,46,BC,32769,4035980,0.008119217637352018
2000,FALSE,47,BC,31568,4035980,0.007821644309436618
2000,FALSE,48,BC,30367,4035980,0.007524070981521217
2000,FALSE,49,BC,29798,4035980,0.007383089113424744
2000,FALSE,50,BC,29768,4035980,0.007375655974509289
2000,FALSE,51,BC,28655,4035980,0.0070998865207458906
2000,FALSE,52,BC,28580,4035980,0.007081303673457252
2000,FALSE,53,BC,28866,4035980,0.007152166264451261
2000,FALSE,54,BC,23017,4035980,0.0057029519472346244
2000,FALSE,55,BC,21843,4035980,0.005412068444343133
2000,FALSE,56,BC,21856,4035980,0.005415289471206498
2000,FALSE,57,BC,21148,4035980,0.005239867392801748
