REF_DATE,Projection_scenario,VALUE,prop_male,relative_change
2029,M2,405800,0.5121347201584944,1.046685581635285
2030,M2,408200,0.5120689655172413,1.0528759350012897
2031,M2,410800,0.5122428991185113,1.0595821511477947
2032,M2,413800,0.5120408659693505,1.0673200928553004
2033,M2,417100,0.511953634387829,1.0758318287335569
2034,M2,420900,0.5122184954480116,1.0856332215630642
2035,M2,425000,0.5121082621082621,1.0962084085633221
2036,M2,429500,0.5119887165021157,1.107815321124581
2037,M2,434300,0.5119795301232845,1.1201960278565901
2038,M2,439100,0.5121951219512195,1.1325767345885995
2039,M2,444100,0.5121729237770193,1.1454733041011091
2040,M2,449000,0.5120359955005624,1.1581119422233686
2041,M2,453800,0.5122385402759234,1.170492648955378
2042,M2,458500,0.5121092029942756,1.182615424297137
2043,M2,461100,0.5120941381564611,1.189321640443642
2044,M2,463600,0.5121317157712305,1.1957699251998968
2045,M2,465900,0.5121741004093945,1.2017023471756514
2046,M2,468200,0.512221269296741,1.2076347691514058
2047,M2,470300,0.5121638924455826,1.2130513283466597
2048,M2,472400,0.5121070518266779,1.218467887541914
2049,M2,474400,0.5121590188200466,1.2236265153469177
2050,M2,476500,0.5122105263157894,1.2290430745421719
2051,M2,478700,0.5120519807168309,1.234717565127676
2052,M2,480900,0.512205299394951,1.2403920557131802
2053,M2,483200,0.5121495327102804,1.2463244776889348
2054,M2,485500,0.5121951219512195,1.2522568996646892
2055,M2,488000,0.5121349238996298,1.258705184420944
2056,M2,490500,0.5122799836266885,1.2651534691771988
2057,M2,493100,0.512214983713355,1.2718596853237039
2058,M2,495900,0.5121506682867558,1.2790817642507093
2059,M2,498700,0.5120821586790173,1.2863038431777147
2060,M2,501700,0.512214657589107,1.2940417848852206
2061,M2,504700,0.5121417197452229,1.3017797265927262
2062,M2,507900,0.5121661721068249,1.3100335310807325
2063,M2,511300,0.5122862197758994,1.3188031983492392
2064,M2,514799.99999999994,0.5122046475297793,1.3278307970079957
2065,M2,518400,0.5122187742435997,1.3371163270570028
2066,M2,522200.00000000006,0.5120354323127286,1.3469177198865103
2067,M2,526100,0.5122370936902485,1.3569770441062676
2020,M3,387700,0.5120685180378926,1
2021,M3,389800,0.5121321631388746,1.005416559195254
2022,M3,392000,0.5119322555812164,1.0110910497807584
2023,M3,394000,0.5122511485451761,1.0162496775857621
2024,M3,395900,0.512058898197512,1.021150374000516
2025,M3,397800,0.511997979287699,1.0260510704152694
2026,M3,399700,0.5120663650075414,1.0309517668300232
2027,M3,401600,0.5120060030015007,1.035852463244777
2028,M3,403600,0.5120736868309683,1.0410110910497807
2029,M3,405800,0.5121347201584944,1.046685581635285
2030,M3,408200,0.5120689655172413,1.0528759350012897
2031,M3,410800,0.511998041136141,1.0595821511477947
2032,M3,413800,0.5120408659693505,1.0673200928553004
2033,M3,417100,0.5120772946859904,1.0758318287335569
2034,M3,420900,0.5122184954480116,1.0856332215630642
2035,M3,425000,0.5121082621082621,1.0962084085633221
2036,M3,429500,0.5119887165021157,1.107815321124581
2037,M3,434300,0.5122121423586881,1.1201960278565901
2038,M3,439200,0.5121951219512195,1.1328346659788495
2039,M3,444100,0.512056414922657,1.1454733041011091
2040,M3,449000,0.5120359955005624,1.1581119422233686
2041,M3,453900,0.5122385402759234,1.170750580345628
2042,M3,458500,0.511996478098173,1.182615424297137
2043,M3,461200,0.5120941381564611,1.1895795718338922
2044,M3,463700,0.5121317157712305,1.196027856590147
2045,M3,466000,0.5121741004093945,1.2019602785659014
2046,M3,468200,0.5121114683815648,1.2076347691514058
2047,M3,470300,0.512054619159377,1.2130513283466597
2048,M3,472400,0.5121070518266779,1.218467887541914
2049,M3,474500,0.5121590188200466,1.223884446737168
2050,M3,476600,0.5122105263157894,1.229301005932422
2051,M3,478700,0.5122615803814714,1.234717565127676
2052,M3,480900,0.512205299394951,1.2403920557131802
2053,M3,483200,0.5121495327102804,1.2463244776889348
2054,M3,485500,0.5121951219512195,1.2522568996646892
2055,M3,488000,0.5121349238996298,1.258705184420944
2056,M3,490500,0.5121751585839984,1.2651534691771988
2057,M3,493200,0.512214983713355,1.272117616713954
2058,M3,495900,0.512046973071472,1.2790817642507093
2059,M3,498700,0.5120821586790173,1.2863038431777147
2060,M3,501700,0.5121121121121122,1.2940417848852206
2061,M3,504800,0.5121417197452229,1.3020376579829764
2062,M3,508000,0.5121661721068249,1.3102914624709827
2063,M3,511300,0.512185534591195,1.3188031983492392
2064,M3,514799.99999999994,0.5122046475297793,1.3278307970079957
2065,M3,518500,0.5122187742435997,1.337374258447253
2066,M3,522200.00000000006,0.5122279992297324,1.3469177198865103
2067,M3,526100,0.51213917033072065,1.3569770441062676
2020,M4,387700,0.5120685180378926,1
2021,M4,389900,0.512,1.0056744905855042
2022,M4,392000,0.5121888632281242,1.0110910497807584
2023,M4,394100,0.5121204388874713,1.0165076089760123
2024,M4,396000,0.5121827411167513,1.021408305390766
2025,M4,397900,0.5121212121212122,1.0263090018055196
2026,M4,399800,0.5120603015075377,1.0312096982202734
2027,M4,401800,0.512128032008002,1.0363683260252772
2028,M4,403800,0.5120676785269969,1.0415269538302812
2029,M4,405900,0.5122555087893044,1.0469435130255351
2030,M4,408300,0.5121891159812854,1.05313386639154
2031,M4,410900,0.5121175030599755,1.059840082538045
2032,M4,413900,0.5121595330739299,1.0675780242455506
2033,M4,417200,0.512071463061323,1.076089760123807
2034,M4,420900,0.5120958083832335,1.0856332215630642
2035,M4,425100,0.5119867078091621,1.0964663399535723
2036,M4,429600,0.5122237893747063,1.1080732525148311
2037,M4,434300,0.5122121423586881,1.1201960278565901
2038,M4,439200,0.5121951219512195,1.1328346659788495
2039,M4,444100,0.5121729237770193,1.1454733041011091
2040,M4,449000,0.5120359955005624,1.1581119422233686
2041,M4,453800,0.5120160213618158,1.170492648955378
2042,M4,458400,0.5121092029942756,1.1823574929068867
2043,M4,461100,0.512205754141238,1.189321640443642
2044,M4,463600,0.5122426868905742,1.1957699251998968
2045,M4,465900,0.5120689655172413,1.2017023471756514
2046,M4,468100,0.5120068610634649,1.2073768377611556
2047,M4,470200,0.5121638924455826,1.2127933969564095
2048,M4,472300,0.5122158487359252,1.2182099561516637
2049,M4,474400,0.5122673434856175,1.2236265153469177
2050,M4,476500,0.5121078121709833,1.2290430745421719
2051,M4,478600,0.5121593291404613,1.2344596337374258
2052,M4,480800,0.5121035058430718,1.24013412432293
2053,M4,483100,0.5122559202326548,1.2460665462986846
2054,M4,485500,0.5120942733099029,1.2522568996646892
2055,M4,487900,0.5122402797778235,1.2584472530306938
2056,M4,490500,0.5120753172329103,1.2651534691771988
2057,M4,493100,0.512214983713355,1.2718596853237039
2058,M4,495900,0.5121506682867558,1.2790817642507093
2059,M4,498700,0.5120821586790173,1.2863038431777147
2060,M4,501700,0.512214657589107,1.2940417848852206
2061,M4,504700,0.5121417197452229,1.3017797265927262
2062,M4,507900,0.5121661721068249,1.3100335310807325
2063,M4,511300,0.5122862197758994,1.3188031983492392
2064,M4,514799.99999999994,0.5122046475297793,1.3278307970079957
2065,M4,518400,0.5122187742435997,1.3371163270570028
2066,M4,522100,0.5121340523882896,1.34665978849626
2067,M4,526000,0.5122370936902485,1.3567191127160176
2020,M5,387500,0.5122014537902388,1
2021,M5,389700,0.512006196746708,1.0056774193548388
2022,M5,391700,0.5121951219512195,1.0108387096774194
2023,M5,393700,0.5122574055158324,1.016
2024,M5,395700,0.5120650241300483,1.0211612903225806
2025,M5,397500,0.5120040434672732,1.0258064516129033
2026,M5,399400,0.5120724346076458,1.030709677419355
2027,M5,401300,0.5121401752190238,1.0356129032258063
2028,M5,403200,0.5122072745391131,1.040516129032258
2029,M5,405300,0.5121467526028756,1.0459354838709678
2030,M5,407700,0.5120808678500985,1.0521290322580645
2031,M5,410200,0.5121353272860996,1.0585806451612902
2032,M5,413100,0.5120584652862362,1.0660645161290323
2033,M5,416400,0.5120948234155781,1.0745806451612903
2034,M5,420100,0.5121190304775618,1.0841290322580646
2035,M5,424200,0.5121313035204568,1.0947096774193548
2036,M5,428600,0.5121319199057716,1.1060645161290323
2037,M5,433200,0.5121212121212121,1.1179354838709676
2038,M5,438100,0.5122232472324723,1.1305806451612903
2039,M5,442900,0.5120894160583942,1.1429677419354838
2040,M5,447700,0.5120685765847056,1.1553548387096775
2041,M5,452500,0.5120481927710844,1.167741935483871
2042,M5,457000,0.5120335614926033,1.1793548387096775
2043,M5,459600,0.5122431132487976,1.1860645161290322
2044,M5,462000,0.5120625950880243,1.192258064516129
2045,M5,464300,0.5122162162162163,1.1981935483870967
2046,M5,466400,0.5120481927710844,1.2036129032258065
